CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,19,14
12,Female,35,19,99
13,Female,58,20,15
14,Female,24,20,77
15,Male,37,20,13
16,Male,22,20,79
17,Female,35,21,35
18,Female,20,21,66
19,Male,52,23,29
20,Male,35,23,98
21,Female,35,24,35
22,Male,25,24,73
23,Female,46,25,5
24,Male,31,25,73
25,Female,54,28,14
26,Female,29,28,82
27,Male,45,28,32
28,Female,35,28,61
29,Male,40,29,31
30,Female,23,29,87
31,Male,60,30,4
32,Female,21,30,73
33,Female,53,33,4
34,Female,18,33,92
35,Male,49,33,14
36,Female,21,33,81
37,Male,42,34,17
38,Female,30,34,73
39,Female,36,37,26
40,Female,20,37,75
41,Male,65,38,35
42,Female,24,38,92
43,Male,48,39,36
44,Female,31,39,61
45,Male,49,39,28
46,Male,24,39,65
47,Female,50,40,55
48,Female,27,40,47
49,Male,29,40,42
50,Male,31,40,42
51,Female,49,42,52
52,Male,32,42,60
53,Female,34,43,54
54,Male,31,43,60
55,Female,49,43,45
56,Female,32,43,41
57,Male,42,44,50
58,Female,30,44,46
59,Female,36,46,51
60,Male,30,46,46
61,Female,60,47,56
62,Female,31,47,55
63,Male,49,48,52
64,Female,27,48,59
65,Female,48,48,51
66,Male,32,48,48
67,Male,34,49,59
68,Female,34,49,47
69,Female,43,50,55
70,Female,32,50,42
71,Male,53,54,49
72,Female,35,54,56
73,Male,35,54,47
74,Female,26,54,54
75,Female,29,54,53
76,Male,44,57,48
77,Female,32,57,52
78,Male,32,58,42
79,Female,27,58,51
80,Female,41,59,55
81,Male,40,59,41
82,Female,28,60,49
83,Male,36,60,50
84,Male,36,60,43
85,Female,52,60,57
86,Female,30,61,46
87,Female,58,61,51
88,Male,27,62,55
89,Female,59,62,41
90,Female,35,62,49
91,Male,37,62,40
92,Female,32,63,42
93,Male,46,63,52
94,Female,29,63,48
95,Male,41,64,47
96,Female,30,64,55
97,Male,29,65,41
98,Female,31,65,50
99,Male,49,65,46
100,Female,25,65,43
