Date,Product,UnitsSold,Revenue
2024-01-01,Phone,26,43188
2024-01-02,Phone,85,32755
2024-01-03,Laptop,11,5579
2024-01-04,Monitor,61,28188
2024-01-05,Monitor,64,15223
2024-01-06,Laptop,18,15893
2024-01-07,Phone,92,34084
2024-01-08,Tablet,84,32583
2024-01-09,Monitor,57,40668
2024-01-10,Phone,74,39400
2024-01-11,Laptop,79,23234
2024-01-12,Phone,12,17356
2024-01-13,Monitor,51,34242
2024-01-14,Monitor,73,7582
2024-01-15,Monitor,72,39434
2024-01-16,Tablet,69,32656
2024-01-17,Phone,38,44135
2024-01-18,Tablet,44,28193
2024-01-19,Laptop,86,12652
2024-01-20,Tablet,69,31307
