Date,PageViews,UniqueVisitors,BounceRate
2024-01-01,828,1261,54.420008847523164
2024-01-02,7065,4225,31.583886633552588
2024-01-03,5861,3286,68.28470317365489
2024-01-04,7163,651,60.20317463110685
2024-01-05,9432,548,37.963247383013666
2024-01-06,7330,3922,51.87683804376459
2024-01-07,5434,3681,46.596013601813226
2024-01-08,6858,4139,63.94272173604018
2024-01-09,4418,2495,79.9816756513535
2024-01-10,2689,518,51.526562173382125
2024-01-11,9115,2029,29.40638625333492
2024-01-12,7803,2281,60.1502937443173
2024-01-13,2670,3542,74.21099150342317
2024-01-14,7275,2438,39.83376435555221
2024-01-15,3395,2627,41.59287245872409
2024-01-16,1456,682,53.66289713466127
2024-01-17,7458,1143,36.5480897780215
2024-01-18,1604,1032,28.581848705578707
2024-01-19,6094,4459,42.91401690004176
2024-01-20,6716,3742,29.733166656357916
